|STOCK|COUNTRY|URL
0|TWLO|US|https://www.investing.com/equities/twilio-inc-a
0|RIVN|US|https://www.investing.com/equities/rivian-automotive
0|BA|US|https://www.investing.com/equities/boeing-co
1|GM|US|https://www.investing.com/equities/gen-motors
2|CVX|US|https://www.investing.com/equities/chevron
3|C|US|https://www.investing.com/equities/citigroup
4|BAC|US|https://www.investing.com/equities/bank-of-america
5|T|US|https://www.investing.com/equities/at-t
6|CAT|US|https://www.investing.com/equities/caterpillar
7|INTC|US|https://www.investing.com/equities/intel-corp
8|MSFT|US|https://www.investing.com/equities/microsoft-corp
9|AA|US|https://www.investing.com/equities/alcoa
10|F|US|https://www.investing.com/equities/ford-motor-co
11|EBAY|US|https://www.investing.com/equities/ebay-inc
12|DELL|US|https://www.investing.com/equities/dell-inc
13|DIS|US|https://www.investing.com/equities/disney
14|DOW|US|https://www.investing.com/equities/dow-chemical
15|CSCO|US|https://www.investing.com/equities/cisco-sys-inc
16|DE|US|https://www.investing.com/equities/deere---co
17|FDX|US|https://www.investing.com/equities/fedex-corp
18|GIS|US|https://www.investing.com/equities/general-mills
19|GLW|US|https://www.investing.com/equities/corning-inc
20|GT|US|https://www.investing.com/equities/goodyear-tire
21|GS|US|https://www.investing.com/equities/goldman-sachs-group
22|JPM|US|https://www.investing.com/equities/jp-morgan-chase
23|KMB|US|https://www.investing.com/equities/kimberly-clark
24|KHC|US|https://www.investing.com/equities/kraft-foods-inc
25|KO|US|https://www.investing.com/equities/coca-cola-co
26|MCD|US|https://www.investing.com/equities/mcdonalds
27|LLY|US|https://www.investing.com/equities/eli-lilly-and-co
28|ORCL|US|https://www.investing.com/equities/oracle-corp
29|MRK|US|https://www.investing.com/equities/merck---co
30|MSI|US|https://www.investing.com/equities/motorola-inc
31|MMM|US|https://www.investing.com/equities/3m-co
32|ODP|US|https://www.investing.com/equities/office-depot
33|CAKFF|US|https://www.investing.com/equities/celesio-mu?cid=6291
34|PMMAF|US|https://www.investing.com/equities/celesio-mu?cid=6291
35|VRTX|US|https://www.investing.com/equities/vertex-pharm
36|MNST|US|https://www.investing.com/equities/monster-beverage
37|TEVA|US|https://www.investing.com/equities/teva-pharmaceutical-inds-ltd
38|FITB|US|https://www.investing.com/equities/fifth-third-bk
39|SHLDQ|US|https://www.investing.com/equities/sears-hldgs-corp
40|CTAS|US|https://www.investing.com/equities/cintas-corp
41|ADSK|US|https://www.investing.com/equities/autodesk-inc
42|DISH|US|https://www.investing.com/equities/dish-network
43|GILD|US|https://www.investing.com/equities/gilead-sciences-inc
44|LIFE|US|https://www.investing.com/equities/life-tech-corp
45|GOOGL|US|https://www.investing.com/equities/google-inc
46|FISV|US|https://www.investing.com/equities/fiserv-inc
47|LBTYA|US|https://www.investing.com/equities/liberty-global-inc
48|PDLI|US|https://www.investing.com/equities/pdl-biopharma-inc
49|ADBE|US|https://www.investing.com/equities/adobe-sys-inc
50|BB|US|https://www.investing.com/equities/research-in-motion-ltd
51|QCOM|US|https://www.investing.com/equities/qualcomm-inc
52|SINA|US|https://www.investing.com/equities/sina-corp
53|BIDU|US|https://www.investing.com/equities/baidu.com
54|SOHU|US|https://www.investing.com/equities/sohu-com-inc
55|DISCA|US|https://www.investing.com/equities/discovery-holding-co
56|RBBN|US|https://www.investing.com/equities/sonus-networks
57|AMAT|US|https://www.investing.com/equities/applied-matls-inc
58|STLD|US|https://www.investing.com/equities/steel-dynamics
59|CDNS|US|https://www.investing.com/equities/cadence-design-system-inc
60|BBBY|US|https://www.investing.com/equities/bed-bath---beyond-inc
61|MCHP|US|https://www.investing.com/equities/microchip-technology-inc
62|WYNN|US|https://www.investing.com/equities/wynn-resorts-ltd
63|ISRG|US|https://www.investing.com/equities/intuitive-surgical-inc
64|NDAQ|US|https://www.investing.com/equities/nasdaq-omx-group
65|RYAAY|US|https://www.investing.com/equities/ryanair-hldgs
66|APLO|US|https://www.investing.com/equities/apollo-group-inc
67|INFY|US|https://www.investing.com/equities/infosy-tech
68|JBLU|US|https://www.investing.com/equities/jet-blue
69|SPAR|US|https://www.investing.com/equities/spartan-motors
70|HSIC|US|https://www.investing.com/equities/henry-schein
71|PAYX|US|https://www.investing.com/equities/paychex-inc
72|VRSN|US|https://www.investing.com/equities/verisign-inc
73|AAPL|US|https://www.investing.com/equities/apple-computer-inc
74|FAST|US|https://www.investing.com/equities/fastenal-co
75|XRAY|US|https://www.investing.com/equities/dentsply-intl-inc-new
76|CROX|US|https://www.investing.com/equities/crocs
77|ZION|US|https://www.investing.com/equities/zions-bancorp
78|NTRS|US|https://www.investing.com/equities/northern-trust
79|CTXS|US|https://www.investing.com/equities/citrix-sys-inc
80|LAMR|US|https://www.investing.com/equities/lamar-advertising-co
81|PTEN|US|https://www.investing.com/equities/patterson-uti-energy-inc
82|ATLC|US|https://www.investing.com/equities/atlanticuss
83|CHRW|US|https://www.investing.com/equities/c-h-robinson-worldwide-inc
84|SIRI|US|https://www.investing.com/equities/sirius-satellite-radio-inc
85|ALPN|US|https://www.investing.com/equities/novellus-sys
86|PCAR|US|https://www.investing.com/equities/paccar-inc
87|PAAS|US|https://www.investing.com/equities/pan-american-silver-corp
88|AMZN|US|https://www.investing.com/equities/amazon-com-inc
89|ROST|US|https://www.investing.com/equities/ross-stores-inc
90|VIAV|US|https://www.investing.com/equities/jds-uniphase-corp
91|NTES|US|https://www.investing.com/equities/netease.com
92|NTAP|US|https://www.investing.com/equities/network-appliance-inc
93|ETFC|US|https://www.investing.com/equities/etrade-fincl-cp
94|GRMN|US|https://www.investing.com/equities/garmin-ltd
95|COST|US|https://www.investing.com/equities/costco-whsl-corp-new
96|CHKP|US|https://www.investing.com/equities/check-point-software-tech-lt
97|LRCX|US|https://www.investing.com/equities/lam-research-corp
98|CIEN|US|https://www.investing.com/equities/ciena
99|IAC|US|https://www.investing.com/equities/iac-interactivecorp
100|INTU|US|https://www.investing.com/equities/intuit
101|EXPE|US|https://www.investing.com/equities/expedia
102|TCOM|US|https://www.investing.com/equities/ctrip.com-international
103|UTSI|US|https://www.investing.com/equities/utstarcom-inc
104|CTSH|US|https://www.investing.com/equities/cognizant-technology-solutio
105|RMBS|US|https://www.investing.com/equities/rambus-inc
106|NIHD|US|https://www.investing.com/equities/nii-hldgs-inc
107|YRCW|US|https://www.investing.com/equities/yrc-worldwide
108|AKAM|US|https://www.investing.com/equities/akamai-technologies-inc
109|KLAC|US|https://www.investing.com/equities/kla-tencor-corp
110|JNPR|US|https://www.investing.com/equities/juniper-networks-inc
111|ATVI|US|https://www.investing.com/equities/activision-inc
112|FLEX|US|https://www.investing.com/equities/flextronics-intl-ltd
113|AMGN|US|https://www.investing.com/equities/amgen-inc
114|XLNX|US|https://www.investing.com/equities/xilinx-inc
115|EXPD|US|https://www.investing.com/equities/expeditors-intl-wash-inc
116|EA|US|https://www.investing.com/equities/electronic-arts-inc
117|PDCO|US|https://www.investing.com/equities/patterson-companies-inc
118|TROW|US|https://www.investing.com/equities/t-rowe-price-gp
119|BIIB|US|https://www.investing.com/equities/biogen-idec-inc
120|QRTEA|US|https://www.investing.com/equities/liberty-media-inter
121|SCHW|US|https://www.investing.com/equities/charles-schwab
