	Date	Ticker	news_va	news_fl	news_t5	news_t5Be	news_txtBlod	Headline
0	2022-07-11	MELI	-59.01	-98.422	-100.0	-96.193	3.406	U.S. Stocks Tumble Over Heightened Inflation Fears     The price movement of the S&P 500 has declined during this morning’s Asian and European sessions. The pre-market price has so far declined by 0.81% before this afternoon’s market open....
1	2022-05-12	MELI	93.87	73.898	100.0	68.252	18.491	2 Solid Fintech And Crypto ETFs Worth A Look Now     Last week, the Federal Reserve (Fed) delivered the sharpest rate hike in more than two decades, raising interest rates by 50 basis points. A sharp multi-day sell-off on Wall Street followed the...
2	2022-03-30	MELI	28.322	97.662	0.0	2.028	67.5	10 Top Holdings Of Nancy Zevenbergen     Nancy Zevenbergen is the President and CIO of Zevenbergen Capital Investments LLC. She started her career as a part-time teller at Seattle’s Rainier Bancorp, and after college graduation in...
3	2022-03-07	MELI	125.706	99.942	100.0	5.154	61.493	3 Hedge Fund Favorite Stocks To Buy Now     These Hedge Fund Favorites Could Be Great Long-Term Plays Although investors should never blindly follow the market moves of a hedge fund, there’s something intriguing about checking out the...
4	2021-12-20	MELI	13.524	-62.0	100.0	50.013	15.031	Chart Of The Day: E-Tail Giant MercadoLibre Tops Out Despite Positive Fundamentals     MercadoLibre (NASDAQ:MELI) is one of Latin America's largest online retail platforms. The Argentinian e-tailer saw business boom during lockdowns when people sheltered in place and conducted their...
5	2021-11-01	MELI	0.0	-99.109	100.0	3.192	0.0	What's in the Cards for MercadoLibre's (MELI) Q3 Earnings?     MercadoLibre (NASDAQ:MELI), Inc. MELI is set to report third-quarter 2021 results on Nov 4.For the third quarter, the Zacks Consensus Estimate for sales is pegged at $1.84 billion, indicating growth...
6	2021-10-21	MELI	63.21	97.969	-100.0	6.121	-5.319	Time to Buy China & EM Internet ETFs?     (1:15) - China’s Regulatory Crack Down On Internet and Ecommerce(6:10) - What Is The Growth Potential For Chinese Technology Giants?(11:30) - The Next Frontier Internet & Ecommerce ETF:...
7	2021-09-23	MELI	-3.612	-12.12	0.0	-11.216	-22.653	Bored of Big Tech Names? 5 Future Tech ETF Plays for You     FAANG stocks — Facebook Inc (NASDAQ:FB). FB, Apple Inc (NASDAQ:AAPL). AAPL, Amazon.com Inc (NASDAQ:AMZN). AMZN, Netflix Inc (NASDAQ:NFLX). (NFLX) and Alphabet (NASDAQ:GOOGL) Inc.’s (GOOG,...
8	2021-09-06	MELI	95.312	93.654	100.0	-41.427	0.0	SoFi Technologies: 4 Trades To Get In On Fintech's Growth     SoFi Technologies has recently issued mixed Q2 metrics, which put pressure on the shares The fintech group is growing its platform, product offerings and customer numbers We’re optimistic on the...
9	2021-08-17	MELI	113.036	99.697	100.0	22.803	23.051	3 Reasons Why Sea Limited Stock Is Special     Finding growing companies with diverse business models such as Sea Ltd (NYSE:SE) is one of the smartest ways to generate outsized returns for your portfolio. With that said, it’s important to...
10	2021-08-11	MELI	120.274	98.4	0.0	61.111	9.388	3 Growth Stocks With Immense Upside     Although growth stocks can certainly expose investors to volatility given their lofty valuations and sensitivity to interest rates, their upside potential helps to justify the risk. These are...
11	2021-06-25	MELI	71.33	99.853	100.0	5.326	65.063	3 Extraordinary E-Commerce Stocks To Buy Now     When you stop to think about the long-term trends that are shaping up to deliver the most winning stocks, the rise of e-commerce is at the top of the list. Internet shopping is one of the most popular...
12	2021-06-10	MELI	0.0	-99.26	100.0	-92.294	-13.69	Moving Average Crossover Alert: MercadoLibre (MELI)     MercadoLibre (NASDAQ:MELI), Inc. MELI could be a stock to avoid from a technical perspective, as the firm is seeing unfavorable trends on the moving average crossover front. Recently, the 50 Day...
13	2021-04-28	MELI	73.738	-92.513	100.0	3.055	27.017	3 Forgotten Growth Stocks Making A Comeback     Growth investing in 2021 has been a completely different picture than what we saw last year, which makes sense given the colossal run that many of those stocks had. If you were overweight growth names...
14	2021-03-01	MELI	95.312	77.039	100.0	92.15	6.733	S&P 500 Earnings Increase As Yields Soar     The earnings per share (EPS) for all S&P 500 companies combined increased to $174.19 last week. The forward EPS has grown 9.54% so far this year. 95.8% of S&P 500 companies have now reported...
15	2021-01-07	MELI	113.764	99.288	100.0	15.498	39.437	2 ETFs To Help Diversify Any Buy-And-Hold Portfolio     A new year typically means renewed hopes for many people. It is also a good time for retail investors to review long-term portfolio holdings. Concerns about how COVID-19 could affect some sectors were...
16	2020-12-15	MELI	105.7	-99.504	100.0	10.016	4.326	Should iShares Morningstar MidCap Growth ETF (JKH) Be on Your Investing Radar?     Looking for broad exposure to the Mid Cap Growth segment of the US equity market? You should consider the iShares Morningstar MidCap Growth ETF (JKH), a passively managed exchange traded fund launched...
17	2020-12-14	MELI	125.706	98.782	100.0	94.292	0.0	Amazon (AMZN) AWS Clientele Strengthens With Arm Migration     Amazon AMZN continues to witness growth in its cloud clientele on the back of its well-performing cloud computing arm Amazon Web Services (“AWS”). Moreover, its strengthening cloud service...
18	2020-10-29	MELI	61.656	-99.668	100.0	47.044	23.887	"The Halloween Effect: 2 ETFs May See Sweeter Profits     The ""Halloween Indicator"" is a market timing strategy that suggests that stock market returns are higher in the winter months—November through April. The old stock market adage ""Sell in May and..."
19	2020-10-20	MELI	-70.644	72.295	100.0	-39.28	4.533	8 Financial Stocks To Watch     Forecasting stock performance is always a risky proposition, especially in the uncertain times we are currently experiencing. As the world fast approaches the one year mark of the current global...
20	2020-08-05	MELI	38.248	93.873	100.0	14.968	33.975	These 5 Earnings Charts May Surprise You     This is a big week for earnings with over 900 companies reporting including the rest of FAANG and many of the hot big cap stocks from drug makers, to restaurants, to retailers, and financials. Many of...
21	2020-05-12	MELI	-93.954	-87.086	-100.0	-60.519	29.434	5 Top Retailers Flying High Despite Pandemic-Induced Crisis     The global economy is reeling under coronavirus-induced uncertainties since mid-January. The economic devastation has led to the collapse of stock markets and Wall Street is no exception. Although,...
22	2020-03-16	MELI	105.084	-71.089	100.0	89.959	17.094	6 E-commerce Stocks To Gain As Coronavirus Boosts Online Orders      The coronavirus outbreak may have disrupted the global supply chain but not all industries are suffering.The global pandemic is expected to favor the ecommerce industry as any kind of lockdown and...
23	2020-03-10	MELI	-82.026	-99.992	-100.0	-95.817	-12.56	Why Is MercadoLibre (MELI) Down 8.1% Since Last Earnings Report?     A month has gone by since the last earnings report for MercadoLibre (NASDAQ:MELI). Shares have lost about 8.1% in that time frame, outperforming the S&P 500. Will the recent negative trend...
24	2020-02-27	MELI	-82.026	-99.987	-100.0	-95.891	-12.56	Paypal (PYPL) Down 7.9% Since Last Earnings Report: Can It Rebound?     A month has gone by since the last earnings report for Paypal (PYPL). Shares have lost about 7.9% in that time frame, outperforming the S&P 500. Will the recent negative trend continue leading up...
25	2020-02-11	MELI	-90.804	-99.916	-100.0	-96.462	-27.9	MercadoLibre (MELI) Reports Loss In Q4, Revenues Improve Y/Y     MercadoLibre, Inc. (NASDAQ:MELI) reported fourth-quarter 2019 loss of $1.11 per share, missing the Zacks Consensus Estimate of a loss of 69 cents. Moreover, the figure is wider than a loss of 5...
26	2020-02-10	MELI	-17.92	-99.854	-100.0	-95.548	0.0	MercadoLibre (MELI) Reports Q4 Loss, Tops Revenue Estimates     MercadoLibre (NASDAQ:MELI) came out with a quarterly loss of $1.11 per share versus the Zacks Consensus Estimate of a loss of $0.69. This compares to loss of $0.05 per share a year ago. These figures...
27	2020-02-04	MELI	-64.232	-81.414	100.0	-46.202	14.895	5 Red Hot Stocks That Drove Nasdaq ETF To New Highs     The Nasdaq Composite Index reached another all-time high amid the coronavirus epidemic that has hurt business operations in the world's second largest economy. This was driven by China’s...
28	2020-01-29	MELI	56.266	-97.968	100.0	92.548	0.0	PayPal (PYPL) Q4 Earnings Beat Estimates, Revenues Up Y/Y     PayPal Holdings, Inc. (NASDAQ:PYPL) reported non-GAAP earnings of 86 cents per share in fourth-quarter 2019, which surpassed the Zacks Consensus Estimate by 3.6%. The figure improved 24.6% on a...
29	2020-01-13	MELI	100.576	98.882	100.0	59.835	38.812	Top Research Reports For UnitedHealth, CVS & Morgan Stanley     Monday, January 13, 2020The Zacks Research Daily presents the best research output of our analyst team. Today's Research Daily features new research reports on 16 major stocks, including UnitedHealth...
30	2019-12-30	MELI	89.992	-99.996	100.0	76.304	18.533	For Most U.S. Major Indices 2019 Has Been Great; Can That Continue In 2020?     When trading opened in 2019, investors were just hoping stocks would produce a rebound from the awful fourth quarter in 2018. But Apple (NASDAQ:AAPL) nearly spoiled everything. Shares fell more than...
31	2019-12-23	MELI	-50.568	-99.995	-100.0	-95.646	0.0	Forget MELI, Buy These 3 E-commerce Stocks Instead For 2020     MercadoLibre (NASDAQ:MELI) , which operates the largest online marketplace in Latin America through its e-commerce and payment services, has been witnessing a gloomy second-half 2019.We note that...
