name,family,factor_style,nature,pit_safe,engine,inputs,warmup,output,author_removed,migrated
cdl_2CROWS,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",2.0,categorical,False,False
cdl_3BLACKCROWS,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",3.0,categorical,False,False
cdl_3INSIDE,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",3.0,categorical,False,True
cdl_3LINESTRIKE,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",3.0,categorical,False,False
cdl_3OUTSIDE,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",3.0,categorical,False,True
cdl_3STARSINSOUTH,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",3.0,categorical,False,False
cdl_3WHITESOLDIERS,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",3.0,categorical,False,False
cdl_ABANDONEDBABY,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_ADVANCEBLOCK,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_BELTHOLD,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_BREAKAWAY,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_CLOSINGMARUBOZU,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_CONCEALBABYSWALL,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_COUNTERATTACK,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_DARKCLOUDCOVER,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_DOJI,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_DOJISTAR,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_DRAGONFLYDOJI,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_ENGULFING,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_EVENINGDOJISTAR,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_EVENINGSTAR,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_GAPSIDESIDEWHITE,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_GRAVESTONEDOJI,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_HAMMER,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_HANGINGMAN,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_HARAMI,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_HARAMICROSS,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_HIGHWAVE,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_HIKKAKE,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_HIKKAKEMOD,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_HOMINGPIGEON,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_IDENTICAL3CROWS,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_INNECK,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_INVERTEDHAMMER,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_KICKING,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_KICKINGBYLENGTH,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_LADDERBOTTOM,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_LONGLEGGEDDOJI,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_LONGLINE,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_MARUBOZU,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_MATCHINGLOW,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_MATHOLD,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_MORNINGDOJISTAR,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_MORNINGSTAR,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_ONNECK,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_PIERCING,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
cdl_RICKSHAWMAN,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_RISEFALL3METHODS,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_SEPARATINGLINES,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_SHOOTINGSTAR,Candle,microstructure/shape,Pattern,True,talib,"O,H,L,C",,categorical,False,False
cdl_SHORTLINE,Candle,microstructure/shape,Pattern,True,native,"O,H,L,C",,categorical,False,True
