,symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,currencyPair,shortSelling
0,TGNA.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360331911,,0,2,2,12,2436,2147483647,US,TEGNA Inc,True,False,False,True,100.0,20.0,20.02,20.22,19.94,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Tue Dec 06 21:58:51 CET 2022,False,False
1,SIRI.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670358761979,,0,2,2,12,2436,2147483647,US,Sirius XM Holdings Inc,True,False,False,True,100.0,6.13,6.15,6.22,6.12,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Tue Dec 06 21:32:41 CET 2022,False,False
2,FUTU.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360390944,,0,2,2,12,2436,2147483647,US,Futu Holdings Ltd - ADR,True,False,False,True,100.0,66.9,66.93,68.03,64.85,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.03,3.0,,0,0,0,0,Tue Dec 06 21:59:50 CET 2022,False,False
3,BMRN.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360393446,,0,2,2,12,2436,2147483647,US,BioMarin Pharmaceutical Inc,True,False,False,True,100.0,101.75,101.81,102.97,101.11,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.06,6.0,,0,0,0,0,Tue Dec 06 21:59:53 CET 2022,False,False
4,HALO.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360374933,,0,2,2,671,13,2147483647,US,Halozyme Therapeutics Inc CFD,False,False,False,True,100.0,56.14,56.37,56.51,55.46,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,30.0,0.23,23.0,,0,0,0,0,Tue Dec 06 21:59:34 CET 2022,False,True
5,DEA.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360312397,,0,2,2,671,13,2147483647,US,Easterly Government Properties Inc CFD,False,False,False,True,100.0,15.21,15.29,15.37,15.04,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.08,8.0,,0,0,0,0,Tue Dec 06 21:58:32 CET 2022,False,True
6,GEO.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360057258,,0,2,2,12,2436,2147483647,US,GEO Group Inc/The,True,False,False,True,100.0,11.84,11.86,12.07,11.68,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Tue Dec 06 21:54:17 CET 2022,False,False
7,IG.IT_4,EUR,STC,EUR,6,4,103,6,3,1,1,1670344960563,,0,3,2,624,16,2147483647,Italy,Italgas SpA CFD,False,False,False,True,100.0,5.571,5.594,5.656,5.566,1.0,1000000.0,1.0,0.001,0.001,-0.01636,-0.00864,20.0,0.023,23.0,,0,0,0,0,Tue Dec 06 17:42:40 CET 2022,False,True
8,TM.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360376936,,0,2,2,671,13,2147483647,US,Toyota Motor Corp - ADR CFD,False,False,False,True,100.0,140.59,141.21,142.29,139.78,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.62,62.0,,0,0,0,0,Tue Dec 06 21:59:36 CET 2022,False,True
9,SKFB.SE_9,SEK,STC,SEK,6,15,104,6,2,1,1,1670344783444,,0,2,2,225,2432,2147483647,Sweden,SKF AB,True,False,False,True,100.0,176.2,176.35,180.7,175.15,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.15,15.0,,0,0,0,0,Tue Dec 06 17:39:43 CET 2022,False,False
10,NXT.UK_4,GBP,STC,GBP,6,4,103,6,2,1,1,1670345041627,,0,2,2,572,14,2147483647,UK,Next PLC CFD,False,False,False,True,100.0,58.59,58.81,58.87,57.83,1.0,1000000.0,1.0,0.01,0.01,-0.02063,-0.00437,20.0,0.22,22.0,,0,0,0,0,Tue Dec 06 17:44:01 CET 2022,False,True
11,EXPD.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360390944,,0,2,2,671,13,2147483647,US,Expeditors International of Wa CFD,False,False,False,True,100.0,109.83,110.27,112.38,107.43,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.44,44.0,,0,0,0,0,Tue Dec 06 21:59:50 CET 2022,False,True
12,WCC.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360389442,,0,2,2,671,13,2147483647,US,Wesco International Inc CFD,False,False,False,True,100.0,121.29,121.84,121.96,118.96,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,30.0,0.55,55.0,,0,0,0,0,Tue Dec 06 21:59:49 CET 2022,False,True
13,JMAT.UK_4,GBP,STC,GBP,6,4,103,6,3,1,1,1670345004095,,0,3,2,572,14,2147483647,UK,Johnson Matthey PLC CFD,False,False,False,True,100.0,21.26,21.35,21.37,20.92,1.0,1000000.0,1.0,0.001,0.001,-0.02063,-0.00437,20.0,0.09,90.0,,0,0,0,0,Tue Dec 06 17:43:24 CET 2022,False,True
14,ABBV.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360393446,,0,2,2,12,2436,2147483647,US,AbbVie Inc,True,False,False,True,100.0,163.54,163.67,164.23,161.16,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.13,13.0,,0,0,0,0,Tue Dec 06 21:59:53 CET 2022,False,False
15,ANE.ES_4,EUR,STC,EUR,6,4,103,6,2,1,1,1670345099167,,0,2,2,624,11,2147483647,Spain,Acciona Energias Renova CFD,False,False,False,True,100.0,37.28,37.46,37.52,37.06,1.0,1000000.0,1.0,0.01,0.01,-0.01636,-0.00864,30.0,0.18,18.0,,0,0,0,0,Tue Dec 06 17:44:59 CET 2022,False,True
